               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.035268,             0.01354,           0.0009225,             0.97995,             0.97564,             0.98257,             0.51009,            0.032813,            0.010819,          0.00059032,           0.0074585,           0.0074585,           0.0074585
                 109,            0.038445,            0.013654,          0.00098115,              0.9801,             0.97431,             0.98287,              0.4682,            0.034536,            0.010888,          0.00057909,            0.007416,            0.007416,            0.007416
                 110,            0.037415,             0.01374,          0.00095284,             0.97831,             0.97608,             0.98388,             0.48045,            0.033598,            0.010814,            0.000581,           0.0073733,           0.0073733,           0.0073733
                 111,            0.037649,            0.013745,          0.00081971,             0.98396,             0.97828,             0.98799,             0.50544,            0.032039,            0.010739,          0.00058795,           0.0073303,           0.0073303,           0.0073303
                 112,            0.037213,             0.01383,           0.0010671,             0.97672,             0.97655,             0.98315,             0.47486,            0.032641,            0.010884,          0.00063171,           0.0072872,           0.0072872,           0.0072872
                 113,            0.036649,            0.013927,           0.0008281,             0.97929,              0.9787,             0.98522,             0.51341,            0.032074,            0.010778,          0.00062218,           0.0072438,           0.0072438,           0.0072438
                 114,            0.036826,            0.013348,          0.00075144,              0.9648,             0.96398,             0.97268,             0.45738,            0.033766,            0.011161,           0.0006376,           0.0072003,           0.0072003,           0.0072003
                 115,            0.036523,            0.013951,          0.00093486,             0.97964,             0.97404,             0.98185,             0.47507,            0.034239,            0.010978,          0.00061004,           0.0071566,           0.0071566,           0.0071566
                 116,            0.036996,            0.014212,           0.0010623,             0.98335,             0.97668,             0.98676,             0.48973,            0.033074,            0.010797,          0.00060498,           0.0071127,           0.0071127,           0.0071127
                 117,            0.035225,            0.013882,          0.00085081,             0.98329,             0.97766,              0.9858,             0.51454,            0.031606,            0.010801,          0.00056607,           0.0070686,           0.0070686,           0.0070686
